epoch,step,train_loss,val_loss
0,140,,0.009302109479904175
0,140,0.01879550889134407,
1,281,,0.008671960793435574
1,281,0.009979416616261005,
2,422,,0.005997286643832922
2,422,0.008342447690665722,
3,563,,0.005593236070126295
3,563,0.007045329082757235,
4,704,,0.005731842014938593
4,704,0.0062239160761237144,
5,845,,0.005122312810271978
5,845,0.005628874525427818,
6,986,,0.003960871137678623
6,986,0.0052048200741410255,
7,1127,,0.004255738575011492
7,1127,0.004770519211888313,
8,1268,,0.00466194050386548
8,1268,0.004822868388146162,
9,1409,,0.0040183593519032
9,1409,0.004260731860995293,
10,1550,,0.003672136925160885
10,1550,0.004028910771012306,
11,1691,,0.003285361686721444
11,1691,0.003528433386236429,
12,1832,,0.0033305154647678137
12,1832,0.0033530767541378736,
13,1973,,0.003530241083353758
13,1973,0.0033146131318062544,
14,2114,,0.0030106992926448584
14,2114,0.0030552614480257034,
15,2255,,0.0031656755600124598
15,2255,0.003332979278638959,
16,2396,,0.0026569748297333717
16,2396,0.0028190636076033115,
17,2537,,0.002561678644269705
17,2537,0.0027930475771427155,
18,2678,,0.0027628426905721426
18,2678,0.002751043764874339,
19,2819,,0.0031848035287111998
19,2819,0.0025422899052500725,
20,2960,,0.0022196155041456223
20,2960,0.0024971868842840195,
21,3101,,0.0024030120112001896
21,3101,0.0025331955403089523,
22,3242,,0.002310211304575205
22,3242,0.0023774367291480303,
23,3383,,0.0030017036478966475
23,3383,0.00225555500946939,
24,3524,,0.0021943782921880484
24,3524,0.0024504594039171934,
25,3665,,0.002472946187481284
25,3665,0.00231211562640965,
26,3806,,0.0020699850283563137
26,3806,0.0021227183751761913,
27,3947,,0.0025433350820094347
27,3947,0.002105963183566928,
28,4088,,0.0021280860528349876
28,4088,0.0019978974014520645,
29,4229,,0.0019600633531808853
29,4229,0.0020123205613344908,
30,4370,,0.0018720062216743827
30,4370,0.0020460078958421946,
31,4511,,0.0023348305840045214
31,4511,0.0017906008288264275,
32,4652,,0.0020607514306902885
32,4652,0.0017214393010362983,
33,4793,,0.0019884626381099224
33,4793,0.001985127804800868,
34,4934,,0.0019348178757354617
34,4934,0.0016588416183367372,
35,5075,,0.002017207909375429
35,5075,0.0017575868405401707,
